turn_number,speaker,text,stage
8,User,"Ah, for us it is on the 23rd.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"Yes, now I work as a factor.",NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,Two and a half years.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,"Don't want any job now, no job.",Intent
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,We are looking for a government job.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,Tell me which one is continuous now.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Babu Mallappa Sankapal?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,It has been changed.,NA
9,Assistant,Okay. What is your current age?,Profile
10,User,Twenty four.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,I am doing education.,NA
13,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
14,User,Yes,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,I am doing coaching. I am doing coaching for competitive exams.,NA
17,Assistant,"I understand you are doing coaching for competitive exams. What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
18,User,Full time job.,Job Type
19,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
20,User,I have a competitive exam for a government job.,NA
21,Assistant,"I understand you are preparing for a government job. What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
22,User,Data entry.,NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,No.,NA
25,Assistant,Are you looking for a job in Gokak Belagavi?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Sammed Hatti?",Greeting
2,User,"Yes, I am Sammed Hatti.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,How much?,NA
7,Assistant,Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,Okay.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,I have done it.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,One year three months,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full-time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,"Investment banking, EML KYC, accounting related jobs.",NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"Yes, I know.",NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No no.,NA
21,Assistant,Are you looking for a job in Hukeri Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Nikhita Shivappa Magadum?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty-three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,Yes,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else. Hey are you still on call?",Job Type
14,User,Yes,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,No no.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
18,User,Full-time job.,Job Type
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,We have submitted the application to the Government Railway.,NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
22,User,No.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes.,NA
25,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
26,User,Yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Yes,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,No.,NA
31,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with REKHA G CHIKKAMATH?",Greeting
2,User,"Yes, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, yes.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It is correct, right?",Confirmation
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes ma'am, I am",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Three years.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,"No, I want a part-time job.",Intent
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Government,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,"Yes, I will give it.",NA
17,Assistant,Please tell me your other job-related needs.,Additional Needs
18,User,"No ma'am, I don't want any.",NA
19,Assistant,Let me confirm your details. You are looking for a part-time job Government job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Bharamaji B Bakali?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"No madam, twenty days.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No madam.,NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,"What happened, tell me?",NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,"I am not understanding, madam.",NA
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,Yes madam.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,"Full-time job, madam.",Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,"I have tried all government jobs, madam.",NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,"What happened, madam?",NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
